model,regime,strength,gap_subj,gap_obj,R,triggered
logistic,measurement,low,0.30422096643985697,0.02142205699088673,0.9295838901520229,True
logistic,measurement,low,0.29791115570555504,0.03164501665251296,0.8937770001342622,True
logistic,measurement,low,0.3268089369423862,0.017239941630185496,0.9472476432514918,True
logistic,measurement,low,0.25713855903120564,0.06674122493209877,0.7404464535246958,True
logistic,measurement,low,0.2967802385008518,0.043811839981470646,0.8523761548181892,True
logistic,measurement,low,0.3299268569073863,0.011410614817242037,0.9654147136604733,True
logistic,measurement,low,0.3214450616666904,0.024530388337585585,0.9236871513583201,True
logistic,measurement,low,0.2897700709762421,0.055720318381975,0.807708511116238,True
logistic,measurement,low,0.3080994814384934,0.012294228705751697,0.9600965615120451,True
logistic,measurement,low,0.3031913409120509,0.020064624184018,0.9338219088854576,True
logistic,measurement,low,0.24656593406593408,0.009046236318963619,0.9633110861269888,True
logistic,measurement,low,0.3234944055531075,0.03197999696086418,0.9011420401345578,True
logistic,measurement,low,0.3121984502168722,0.0020207916183326846,0.9935272208528616,True
logistic,measurement,low,0.3032289017668913,0.037300133481014464,0.876990177177474,True
logistic,measurement,low,0.29111752035340077,0.02426423637313524,0.91665140475338,True
logistic,measurement,low,0.26350260945064696,0.000902184235517578,0.9965761848150253,True
logistic,measurement,low,0.2956668654343073,0.015112764473378282,0.9488858365945774,True
logistic,measurement,low,0.30461619309276644,0.03381770008590257,0.8889825923482542,True
logistic,measurement,low,0.29376741345750157,0.005421034880125908,0.9815465070944291,True
logistic,measurement,low,0.2884343825445269,0.017450044208664917,0.9395008179859727,True
logistic,measurement,low,0.31201619968117644,0.049313182681197554,0.8419531334219613,True
logistic,measurement,low,0.22418053508228475,0.017754075017467508,0.9208045648969884,True
logistic,measurement,low,0.278325398006249,0.020132900054159797,0.927664165044299,True
logistic,measurement,low,0.2879034202541497,0.045949444998620526,0.8403997946323174,True
logistic,measurement,low,0.3244931963343516,0.0037619327974728334,0.9884067436853233,True
logistic,measurement,low,0.363987502864932,0.020848271905922866,0.9427225612367818,True
logistic,measurement,low,0.35469001847702164,0.02748165810711667,0.9225192233344535,True
logistic,measurement,low,0.31517033237231096,0.022661340054159873,0.9280981179808827,True
logistic,measurement,low,0.2860447544318512,0.009243784889566897,0.9676841307300771,True
logistic,measurement,low,0.32162225674932643,0.03356938954765043,0.8956247932374453,True
logistic,measurement,low,0.25794195250659624,0.00043034594146584837,0.9983316171049964,True
logistic,measurement,low,0.26030360576072464,0.034763533085585885,0.86645005172329,True
logistic,measurement,low,0.3120069808027923,0.0037019922402894423,0.9881349057294673,True
logistic,measurement,low,0.25057778419760224,0.0012012283080212738,0.9952061659740993,True
