model,regime,strength,mean,std,count,pct_triggered,pct_flag_measurement
hgb,measurement,high,0.974,0.018,100,1.0,1.0
hgb,measurement,low,0.918,0.069,100,1.0,1.0
hgb,measurement,med,0.963,0.026,100,1.0,1.0
hgb,mixed,high,0.869,0.065,100,1.0,1.0
hgb,mixed,low,0.967,0.027,100,1.0,1.0
hgb,mixed,med,0.917,0.059,100,1.0,1.0
hgb,null,na,0.263,0.594,44,0.44,0.455
hgb,outcome_mismatch,high,0.781,0.193,100,1.0,0.94
hgb,outcome_mismatch,low,0.384,0.492,57,0.57,0.474
hgb,outcome_mismatch,med,0.683,0.323,93,0.93,0.839
hgb,substantive,high,-0.019,0.397,99,0.99,0.051
hgb,substantive,low,0.165,0.662,59,0.59,0.305
hgb,substantive,med,-0.171,0.67,97,0.97,0.113
hgb,symmetric,high,0.606,0.413,73,0.73,0.671
hgb,symmetric,low,0.33,0.68,62,0.62,0.5
hgb,symmetric,med,0.521,0.39,67,0.67,0.612
logistic,measurement,high,0.973,0.021,100,1.0,1.0
logistic,measurement,low,0.92,0.06,100,1.0,1.0
logistic,measurement,med,0.954,0.032,100,1.0,1.0
logistic,mixed,high,0.848,0.068,100,1.0,1.0
logistic,mixed,low,0.97,0.024,100,1.0,1.0
logistic,mixed,med,0.914,0.046,100,1.0,1.0
logistic,null,na,0.15,0.691,58,0.58,0.379
logistic,outcome_mismatch,high,0.83,0.153,100,1.0,0.97
logistic,outcome_mismatch,low,0.468,0.438,66,0.66,0.561
logistic,outcome_mismatch,med,0.701,0.338,96,0.96,0.792
logistic,substantive,high,-0.022,0.309,100,1.0,0.03
logistic,substantive,low,0.168,0.559,62,0.62,0.323
logistic,substantive,med,-0.146,0.663,97,0.97,0.082
logistic,symmetric,high,0.563,0.417,82,0.82,0.695
logistic,symmetric,low,0.52,0.384,68,0.68,0.588
logistic,symmetric,med,0.484,0.43,74,0.74,0.662
